"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"48","Hypoatherina valenciennei","Atheriniformes","absent","",828581,"","Hypoatherina valenciennei"
"49","Hyporhamphus sajori","Beloniformes","absent","",496667,"","Hyporhamphus sajori"
"50","Iguanodectes spilurus","Characiformes","absent","",3625587,"","Iguanodectes spilurus"
"51","Jordanella floridae","Cyprinodontiformes","absent","",82326,"","Jordanella floridae"
"52","Neolamprologus brichardi","Cichliformes","absent","",279935,"","Neolamprologus brichardi"
"53","Lepisosteus platyrhincus","Lepisosteiformes","absent","",804455,"","Lepisosteus platyrhincus"
"54","Luciocephalus pulcher","Anabantiformes","absent","",377745,"","Luciocephalus pulcher"
"55","Metynnis hypsauchen","Characiformes","absent","",506575,"","Metynnis hypsauchen"
"56","Metynnis lippincottianus","Characiformes","absent","",1095505,"","Metynnis lippincottianus"
"57","Mimagoniates rheocharis","Characiformes","absent","",328359,"","Mimagoniates rheocharis"
"58","Misgurnus anguillicaudatus","Cypriniformes","absent","y",312382,"","Misgurnus anguillicaudatus"
"59","Moenkhausia xinguensis","Characiformes","absent","",1095527,"","Moenkhausia xinguensis"
"60","Monopterus albus","Synbranchiformes","absent","y",655999,"","Monopterus albus"
"61","Phoxinus oxycephalus jouyi",NA,"absent","",343644,"infraspecific","Phoxinus oxycephalus jouyi"
"62","Myleus setiger","Characiformes","absent","",985120,"","Myleus setiger"
"63","Neolebias unifasciatus","Characiformes","absent","",3624643,"","Neolebias unifasciatus"
"64","Nothobranchius palmqvisti","Cyprinodontiformes","absent","",3641410,"","Nothobranchius palmqvisti"
"65","Nannostomus beckfordi","Characiformes","absent","",486012,"","Nannostomus beckfordi"
"66","Oligosarcus pintoi","Characiformes","absent","",3624795,"","Oligosarcus pintoi"
"67","Oryzias latipes","Beloniformes","absent","y",942673,"","Oryzias latipes"
"68","Osteoglossum bicirrhosum","Osteoglossiformes","absent","y",279997,"","Osteoglossum bicirrhosum"
"69","Pantodon buchholzi","Osteoglossiformes","absent","",108350,"","Pantodon buchholzi"
"70","Paracheirodon axelrodi","Characiformes","absent","",949795,"","Paracheirodon axelrodi"
"71","Phoxinus phoxinus","Cypriniformes","absent","y",1019917,"","Phoxinus phoxinus"
"72","Piaractus mesopotamicus","Characiformes","absent","y",24652,"","Piaractus mesopotamicus"
"73","Pimelodus pictus","Siluriformes","absent","",488963,"","Pimelodus pictus"
"74","Poecilia reticulata","Cyprinodontiformes","absent","y",312452,"","Poecilia reticulata"
"75","Poecilia latipinna","Cyprinodontiformes","absent","y",998174,"","Poecilia latipinna"
"76","Probolodus heterostomus",NA,"absent","",719847,"","Probolodus heterostomus"
"77","Prochilodus lineatus","Characiformes","absent","",1027734,"","Prochilodus lineatus"
"78","Rhinogobius flumineus","Gobiiformes","absent","",518755,"","Rhinogobius flumineus"
"79","Rhodeus ocellatus","Cypriniformes","absent","",887027,"","Rhodeus ocellatus"
"80","Roeboides descalvadensis","Characiformes","absent","",1077236,"","Roeboides descalvadensis"
"81","Roeboides myersii","Characiformes","absent","",282557,"","Roeboides myersii"
"82","Roeboides prognathus","Characiformes","absent","",3624826,"","Roeboides prognathus"
"83","Scleropages jardinii","Osteoglossiformes","absent","",335719,"","Scleropages jardinii"
"84","Serrapinnus notomelas","Characiformes","absent","",199867,"","Serrapinnus notomelas"
