"","X.2","X.1","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity"
"57",57,57,57,"Oncorhynchus mykiss irideus","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","",578312,"infraspecific","Oncorhynchus_mykiss irideus",NA,NA,NA
"58",58,58,58,"Serrasalmus maculatus","Characiformes","Serrasalmidae","Serrasalmus",3,"present","",900276,"","Serrasalmus_maculatus",NA,37,"freshwater"
"59",59,59,59,"Silurus asotus","Siluriformes","Siluridae","Silurus",1,"present","y",967323,"","Silurus_asotus",NA,76,"freshwater"
"60",60,60,60,"Sphoeroides rubripes","Tetraodontiformes","Tetraodontidae","Sphoeroides",NA,"present","",3631199,"","Sphoeroides_rubripes",NA,NA,NA
"61",61,61,61,"Enoplosus armatus","Centrarchiformes","Enoplosidae","Enoplosus",NA,"present","y",54499,"","Enoplosus_armatus",NA,NA,"saltwater"
"62",62,62,62,"Mystus bleekeri","Siluriformes","Bagridae","Mystus",NA,"present","",484171,"","Mystus_bleekeri",NA,23,"freshwater"
"63",63,63,63,"Mystus cavasius","Siluriformes","Bagridae","Mystus",NA,"present","",394571,"","Mystus_cavasius",NA,NA,"freshwater"
"64",64,64,64,"Mystus gulio","Siluriformes","Bagridae","Mystus",3.5,"present","",728947,"","Mystus_gulio",NA,31,"freshwater"
"65",65,65,65,"Sperata seenghala","Siluriformes","Bagridae","Sperata",NA,"present","",250296,"","Sperata_seenghala",NA,20,"freshwater"
"66",66,66,66,"Mystus tengara","Siluriformes","Bagridae","Mystus",NA,"present","",863892,"","Mystus_tengara",NA,NA,"freshwater"
"67",67,67,67,"Gogangra viridescens","Siluriformes","Sisoridae","Gogangra",NA,"present","",641167,"","Gogangra_viridescens",NA,NA,"freshwater"
"68",68,68,68,"Ompok bimaculatus","Siluriformes","Siluridae","Ompok",1,"present","y",670820,"","Ompok_bimaculatus",NA,30,"freshwater"
"69",69,69,69,"Polyodon spathula","Acipenseriformes","Polyodontidae","Polyodon",0.5,"present","y",904101,"","Polyodon_spathula",NA,71,"freshwater"
"70",70,70,70,"Silonia silondia","Siluriformes","Schilbeidae","Silonia",NA,"present","",350492,"","Silonia_silondia",NA,NA,"freshwater"
"71",71,71,71,"Aequidens plagiozonatus","Cichliformes","Cichlidae","Aequidens",NA,"present","",3636223,"","Aequidens_plagiozonatus",NA,NA,"freshwater"
"72",72,72,72,"Anguilla anguilla","Anguilliformes","Anguillidae","Anguilla",3,"present","y",854201,"","Anguilla_anguilla",NA,85,"freshwater"
"73",73,73,73,"Chelon labrosus","Mugiliformes","Mugilidae","Chelon",2,"present","y",777079,"","Chelon_labrosus",NA,83,"saltwater"
"74",74,74,74,"Scyliorhinus canicula","Carcharhiniformes","Scyliorhinidae","Scyliorhinus",3.5,"present","",1026500,"","Scyliorhinus_canicula",NA,78,"saltwater"
"75",75,75,75,"Piaractus brachypomus","Characiformes","Serrasalmidae","Piaractus",3,"present","",24657,"","Piaractus_brachypomus",NA,17,"freshwater"
"76",76,76,76,"Roeboexodon guyanensis","Characiformes","Characidae","Roeboexodon",NA,"present","",575376,"","Roeboexodon_guyanensis",NA,NA,"freshwater"
"77",77,77,77,"Anableps anableps","Cyprinodontiformes","Anablepidae","Anableps",0,"absent","y",349121,"","Anableps_anableps",NA,63,"freshwater"
"78",78,78,78,"Aphyocharax dentatus","Characiformes","Characidae","Aphyocharax",0,"absent","",13154,"","Aphyocharax_dentatus",NA,36,"freshwater"
