"Species","data_type","presence"
"Rhinolekos britskii","lateral","present"
"Pimelodus maculatus","ventral","present"
"Rhinelepis aspera","ventral","present"
"Rhinelepis aspera","lateral","present"
"Rineloricaria lanceolata","ventral","present"
"Rineloricaria lanceolata","lateral","present"
"Rineloricaria latirostris","ventral","present"
"Rineloricaria latirostris","lateral","present"
"Schizolecis guntheri","ventral","present"
"Schizolecis guntheri","lateral","present"
"Scleromystax barbatus","ventral","present"
"Scleromystax barbatus","lateral","present"
"Ictalurus punctatus","ventral","present"
"Gambusia affinis","lateral","absent"
"Gambusia affinis","cross section","absent"
"Gambusia affinis","ventral","absent"
"Haplochromis burtoni","sagittal section","present"
"Parupeneus multifasciatus","ventral","absent"
"Parupeneus multifasciatus","lateral","absent"
"Hippocampus guttulatus","sagittal section","present"
"Pseudopleuronectes americanus","cross section","present"
"Trematomus bernacchii","sagittal section","present"
"Thunnus thynnus","ventral","absent"
"Thunnus thynnus","lateral","absent"
"Oncorhynchus nerka","ventral","present"
"Oncorhynchus nerka","lateral","present"
"Oncorhynchus gorbuscha","ventral","present"
"Oncorhynchus gorbuscha","lateral","present"
"Oncorhynchus keta","ventral","present"
"Oncorhynchus keta","lateral","present"
"Oncorhynchus masou masou","ventral","present"
"Oncorhynchus masou masou","lateral","present"
"Salvelinus leucomaenis pluvius","ventral","present"
"Salvelinus leucomaenis pluvius","lateral","present"
"Lepomis macrochirus","cross section","absent"
"Atractosteus tropicus","sagittal section","present"
"Lepisosteus oculatus","sagittal section","absent"
"Lepisosteus oculatus","cross section","absent"
"Lepomis macrochirus","cross section","present"
"Eptatretus atami","sagittal section","absent"
"Eptatretus atami","cross section","absent"
"Hydrolagus colliei","sagittal section","present"
"Macropodus opercularis","sagittal section","absent"
"Macropodus opercularis","cross section","absent"
"Brycon orbignyanus","ventral","present"
"Brycon orbignyanus","lateral","present"
"Cyprinus carpio","ventral","absent"
"Cyprinus carpio","lateral","absent"
"Diplomystes mesembrinus","ventral","absent"
"Diplomystes mesembrinus","lateral","absent"
"Gymnotus carapo","ventral","present"
"Gymnotus carapo","lateral","present"
"Parablennius incognitus","lateral","present"
"Parablennius incognitus","cross section","present"
"Chaetodon multicinctus","cross section","present"
"Chaetodon miliaris","cross section","present"
"Salmo salar","sagittal section","present"
"Odontesthes bonariensis","sagittal section","absent"
"Odontesthes bonariensis","sagittal section","absent"
"Ompok bimaculatus","sagittal section","present"
"Oncorhynchus kisutch","sagittal section","present"
"Oncorhynchus kisutch","cross section","present"
"Oncorhynchus kisutch","ventral","present"
"Oncorhynchus nerka","cross section","present"
"Oncorhynchus nerka","cross section","present"
