"","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity","climate","Spawning","RepGuild1","RepGuild2","AddInfos","FeedingType","diel","diel1","diel2","diel_continuous"
"302","Favonigobius gymnauchen","Gobiiformes","Gobiidae","Favonigobius",3,"present",NA,100808,NA,"Favonigobius_gymnauchen",NA,41,"saltwater","tropical",NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",3
"303","Pseudanthias squamipinnis","Perciformes","Serranidae","Pseudanthias",3,"present",NA,26905,NA,"Pseudanthias_squamipinnis",NA,18,"saltwater","tropical","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Pelagic spawner. A monandric species (Ref. 55367).  Females are induced to change sex by removal of males from social groups (Ref. 38802). Sex-reversal is completed in 2-4 weeks after male removal in the area, or 170-280 days in an all female group (Ref. 34185, 34249, 34250).  Length at sex change = 5.0 cm TL (Ref. 55367).  Also Ref. 103751.
Successful males spawn nightly with successive females (Ref. 37816).",NA,"diurnal","diurnal","diurnal",2
"304","Gadus macrocephalus","Gadiformes","Gadidae","Gadus",3,"present","y",56885,NA,"Gadus_macrocephalus",NA,92,"saltwater","polar","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","From late summer to mid-winter, fish move into the deeper water (100 to 250 m) of spawning areas; move inshore to depths of 30 to 60 m after spawning (Ref. 27547). Spawning occurs once a year (Ref. 120291).",NA,"diurnal","diurnal","diurnal",2
"305","Gasterosteus aculeatus","Perciformes","Gasterosteidae","Gasterosteus",3,"present","y",401066,NA,"Gasterosteus_aculeatus",NA,86,"freshwater","temperate","one clear seasonal peak per year","guarders","nesters","Spawning behavior is similar for both freshwater and anadromous forms (Ref. 28966). Just before breeding, males become very territorial. The male builds a nest of plant-material glued together with spiggin, a protein produced in the kidney (Ref. 52349). Once a nest is built, the male entices the female into the nest by performing a courtship dance which is a series of  zigzag movements (Ref. 1998). A receptive female follows the male who points the opening of the nest by posing above it with his head down. The female enters the nest, deposits up to a few hundred eggs, and is driven out by the male after eggs have been deposited. The male then enters the nest to fertilize the eggs. The male can choose to court another female to enter the nest and lay eggs before entering himself to fertilise the deposited eggs. Females may lay eggs in several nests over a period of several days or may be courted by the same male (Ref. 27547). The male guards and ventilates the eggs and young (Ref. 1998).  During spawning season, males develop a bright orange to red belly and blue-green flank and eyes.  Eggs hatch in 7-8 days.  Anadromous forms usually die of exhaustion after spawning cycle.  Freshwater individuals are able to complete several cycles within one year or sometimes over several years (Ref. 59043).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-5
"306","Gasterosteus aculeatus aculeatus","Perciformes","Gasterosteidae","Gasterosteus",3,"present","y",111122,"infraspecific","Gasterosteus_aculeatus aculeatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Girella punctata","Centrarchiformes","Kyphosidae","Girella",3,"present",NA,188324,NA,"Girella_punctata",NA,46,"saltwater","subtropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-4
"308","Glossanodon semifasciatus","Argentiniformes","Argentinidae","Glossanodon",3,"present",NA,562634,NA,"Glossanodon_semifasciatus",NA,57,"saltwater","subtropical",NA,"nonguarders",NA,NA,NA,NA,NA,NA,NA
"309","Gnathonemus petersii","Osteoglossiformes","Mormyridae","Gnathonemus",3,"present",NA,115478,NA,"Gnathonemus_petersii",NA,5,"freshwater","tropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"310","Gymnocorymbus ternetzi","Characiformes","Characidae","Gymnocorymbus",3,"present",NA,783051,NA,"Gymnocorymbus_ternetzi",NA,38,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"311","Gymnodraco acuticeps","Perciformes","Bathydraconidae","Gymnodraco",3.5,"present","y",781785,NA,"Gymnodraco_acuticeps",NA,104,"saltwater","polar, subtropical",NA,"nonguarders",NA,NA,NA,NA,NA,NA,NA
"312","Gymnotus pantherinus","Gymnotiformes","Gymnotidae","Gymnotus",3,"present",NA,445404,NA,"Gymnotus_pantherinus",NA,63,"freshwater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Parajulis poecilepterus","Labriformes","Labridae","Parajulis",3,"present",NA,127504,NA,"Parajulis_poecilepterus",NA,35,"saltwater","subtropical","one clear seasonal peak per year","guarders","nesters",NA,NA,"diurnal","diurnal","diurnal",1
"314","Halichoeres tenuispinis","Labriformes","Labridae","Halichoeres",3,"present",NA,1095891,NA,"Halichoeres_tenuispinis",NA,57,"saltwater","subtropical, temperate",NA,NA,NA,"Distinct pairing during breeding (Ref. 205).",NA,"diurnal","diurnal","diurnal",5
"315","Batrachomoeus trispinosus","Batrachoidiformes","Batrachoididae","Batrachomoeus",3,"present",NA,713029,NA,"Batrachomoeus_trispinosus",NA,23,"saltwater","tropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-5
"316","Hemiodus semitaeniatus","Characiformes","Hemiodontidae","Hemiodus",3,"present",NA,3624386,NA,"Hemiodus_semitaeniatus",NA,18,"freshwater","tropical",NA,"guarders","nesters","Distinct pairing (Ref. 205).",NA,"diurnal","diurnal","diurnal",2
"317","Hemiodus sterni","Characiformes","Hemiodontidae","Hemiodus",3,"present",NA,3624388,NA,"Hemiodus_sterni",NA,26,"freshwater","tropical",NA,"guarders","nesters","Distinct pairing (Ref. 205).",NA,NA,NA,NA,NA
"318","Hexagrammos agrammus","Perciformes","Hexagrammidae","Hexagrammos",3,"present",NA,185865,NA,"Hexagrammos_agrammus",NA,62,"saltwater","subtropical, temperate","one clear seasonal peak per year","guarders","Nesters",NA,NA,"crepuscular/nocturnal","nocturnal","crepuscular",-3
"319","Hippocampus guttulatus","Syngnathiformes","Syngnathidae","Hippocampus",3,"present","y",630164,NA,"Hippocampus_guttulatus",NA,71,"saltwater","subtropical","one clear seasonal peak per year","bearers","external brooders","Ovoviviparous. During the mating season, mature males and females have been observed to change hue, i.e., become brighter, when courting (Refs. 52034, 89259). Female deposits her eggs on the brood pouch of the male which is found under the tail (Ref. 205). Gestation usually lasts 21 days (Ref. 89322) and brood sizes up to 581 have been reported (Refs. 53712, 79902, 89322). Young are expelled from the pouch measuring 1.5 cm after 3 weeks of incubation. Size at birth ranges from 0.6-1.4 cm length (Ref. 79902). Newly hatched young are planktonic for at least 8 weeks (Ref. 53712).",NA,"diurnal","diurnal","diurnal",1
"320","Hypodytes rubripinnis","Perciformes","Tetrarogidae","Hypodytes",3,"present","y",463550,NA,"Hypodytes_rubripinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"321","Hypomesus nipponensis","Osmeriformes","Osmeridae","Hypomesus",3,"present","y",37114,NA,"Hypomesus_nipponensis",NA,71,"freshwater","subtropical, temperate",NA,"nonguarders",NA,NA,NA,"diurnal","diurnal","diurnal",5
"322","Lagocephalus wheeleri","Tetraodontiformes","Tetraodontidae","Lagocephalus",3,"present",NA,986276,NA,"Lagocephalus_wheeleri",NA,46,"saltwater","subtropical",NA,NA,NA,"Oviparous (Ref. 205).",NA,NA,NA,NA,NA
"323","Lateolabrax japonicus","Pempheriformes","Lateolabracidae","Lateolabrax",3,"present",NA,186480,NA,"Lateolabrax_japonicus",NA,55,"saltwater","subtropical","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Males mature at age 2 years, becoming females when older (Ref. 36558).  Juveniles may ascend rivers migrating to the sea to spawn (Ref. 36558).",NA,"nocturnal","nocturnal","nocturnal",-3
"324","Pseudomystus siamensis","Siluriformes","Bagridae","Pseudomystus",3,"present",NA,566357,NA,"Pseudomystus_siamensis",NA,17,"freshwater","tropical",NA,"guarders","clutch tenders","The male guards the eggs.",NA,"nocturnal","nocturnal","nocturnal",-3
"325","Nuchequula nuchalis","Chaetodontiformes","Leiognathidae","Nuchequula",3,"present",NA,89840,NA,"Nuchequula_nuchalis",NA,36,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"nocturnal","nocturnal","nocturnal",-3
"326","Lepidotrigla microptera","Perciformes","Triglidae","Lepidotrigla",3,"present",NA,438423,NA,"Lepidotrigla_microptera",NA,57,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"327","Leporinus fasciatus","Characiformes","Anostomidae","Leporinus",3,"present",NA,546980,NA,"Leporinus_fasciatus",NA,26,"freshwater","tropical",NA,"guarders","nesters","Oviparous.  Distinct pairs breed on densely grown weedy places (Ref. 205).  Males tend to stay where the nests are located (Ref. 205).",NA,NA,NA,NA,NA
"328","Rutilus rutilus","Cypriniformes","Cyprinidae","Rutilus",3,"present","y",421037,NA,"Rutilus_rutilus",NA,87,"freshwater","temperate",NA,"nonguarders","open water/substratum egg scatterers","Spawns in shoals among dense among dense submerged vegetation in backwaters or lakes, flooded meadows or in shallow, fast-flowing river habitats on plant or gravel bottom.  Eggs are sticky and hatch in about 12 days (Ref. 59043).  Pale yellow eggs are attached to vegetation and tree roots (Ref. 41678).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-5
"329","Pseudopleuronectes yokohamae","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",3,"present","y",608831,NA,"Pseudopleuronectes_yokohamae",NA,64,"saltwater","subtropical, temperate",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"crepuscular/diurnal","diurnal","crepuscular",3
"330","Planiliza haematocheilus","Mugiliformes","Mugilidae","Planiliza",3,"present","y",963124,NA,"Planiliza_haematocheilus",NA,70,"saltwater","temperate",NA,"nonguarders","open water/substratum egg scatterers","Juveniles spend their first year in freshwater then migrate to sea to breed (Ref. 59043).  Also Ref. 205.",NA,NA,NA,NA,NA
"331","Inimicus japonicus","Perciformes","Synanceiidae","Inimicus",3,"present",NA,301023,NA,"Inimicus_japonicus",NA,45,"saltwater","subtropical",NA,NA,NA,NA,NA,"crepuscular","unclear/crepuscular","crepuscular",NA
"332","Lophius litulon","Lophiiformes","Lophiidae","Lophius",3,"present",NA,607757,NA,"Lophius_litulon",NA,57,"saltwater","subtropical, temperate","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers",NA,NA,"unclear","unclear/crepuscular","unclear",NA
"333","Microcanthus strigatus","Centrarchiformes","Kyphosidae","Microcanthus",3,"present",NA,188292,NA,"Microcanthus_strigatus",NA,38,"saltwater","subtropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-2
"334","Monodactylus argenteus","Perciformes","Monodactylidae","Monodactylus",3,"present",NA,763919,NA,"Monodactylus_argenteus",NA,19,"saltwater","tropical",NA,"nonguarders",NA,NA,NA,"unclear","unclear/crepuscular","unclear",NA
"335","Mormyrus kannume","Osteoglossiformes","Mormyridae","Mormyrus",3,"present",NA,3643916,NA,"Mormyrus_kannume",NA,3,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Muraenolepis microps","Gadiformes","Muraenolepididae","Muraenolepis",3,"present",NA,185099,NA,"Muraenolepis_microps",NA,103,"saltwater","polar",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"337","Nandus nandus","Anabantiformes","Nandidae","Nandus",3,"present",NA,196682,NA,"Nandus_nandus",NA,36,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","Produces up to 300 eggs.",NA,"nocturnal","nocturnal","nocturnal",-1
"338","Chitala chitala","Osteoglossiformes","Notopteridae","Chitala",3,"present","y",863123,NA,"Chitala_chitala",NA,33,"freshwater","tropical",NA,"guarders","clutch tenders","The male tends the clutch (Ref. 2060).",NA,"nocturnal","nocturnal","nocturnal",-4
"339","Notopterus notopterus","Osteoglossiformes","Notopteridae","Notopterus",3,"present",NA,904617,NA,"Notopterus_notopterus",NA,29,"freshwater","tropical",NA,"guarders","clutch tenders","Spawning occurs at night (Ref. 1672).",NA,"diurnal","diurnal","diurnal",1
"340","Oncorhynchus masou","Salmoniformes","Salmonidae","Oncorhynchus",3,"present",NA,982404,NA,"Oncorhynchus_masou",NA,75,"freshwater","subtropical","once in a lifetime","nonguarders","brood hiders","Distinct pairing (Ref. 205). Reproductive strategy: synchronous ovarian organization, determinate fecundity (Ref. 51846).",NA,"diurnal","diurnal","diurnal",3
"341","Oncorhynchus mykiss (species in domain Eukaryota)","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","y",165368,NA,"Oncorhynchus_mykiss (species in domain Eukaryota)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",5
"342","Oncorhynchus masou masou","Salmoniformes","Salmonidae","Oncorhynchus",2,"present","y",207835,"infraspecific","Oncorhynchus_masou masou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Ophisurus macrorhynchos","Anguilliformes","Ophichthidae","Ophisurus",3,"present",NA,65747,NA,"Ophisurus_macrorhynchos",NA,86,"saltwater","subtropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","Oplegnathus fasciatus","Centrarchiformes","Oplegnathidae","Oplegnathus",3,"present","y",711801,NA,"Oplegnathus_fasciatus",NA,51,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"crepuscular/nocturnal","nocturnal","crepuscular",-2
"345","Osphronemus goramy","Anabantiformes","Osphronemidae","Osphronemus",3,"present",NA,612525,NA,"Osphronemus_goramy",NA,25,"freshwater","tropical","throughout the year, but peaking once","guarders","nesters","Adults make nests made of plant fibers instead of bubble nests as some publications have claimed (Ref. 127550). This error comes from a misidentification of a species according to Bhimachar et al. (1944).",NA,NA,NA,NA,NA
"346","Oxycirrhites typus","Centrarchiformes","Cirrhitidae","Oxycirrhites",3,"present",NA,702709,NA,"Oxycirrhites_typus",NA,26,"saltwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","Distinct pairing (Ref. 52884).  Actual spawning lasts about 1-2 seconds while ascending a distance of less than 0.25 m (Ref. 26305). Courtship and spawning behavior is similar to that described for other species: 1) courtship commences just before or after sunset with spawning after sunset; 2) successive courtship and spawning by the male in social groups containing one or more females; 3) courtship and spawning at a site common to both male and female or at a site located within the female's home area; 4) pelagic spawning with a rapid but relatively short ascent into the water column by both male and female; 5) return of the male and female to resident corals afte spawning.
Monogamous mating is observed as both facultative and social (Ref. 52884).",NA,"diurnal","diurnal","diurnal",2
"347","Pagothenia borchgrevinki","Perciformes","Nototheniidae","Pagothenia",3,"present","y",781792,NA,"Pagothenia_borchgrevinki",NA,104,"saltwater","polar, subtropical","one clear seasonal peak per year",NA,NA,NA,NA,NA,NA,NA,NA
"348","Pagrus major","Spariformes","Sparidae","Pagrus",3,"present","y",765344,NA,"Pagrus_major",NA,64,"saltwater","subtropical",NA,"nonguarders",NA,"Conflicting descriptions of the reproductive style of this species have been reported, e.g., Ref. 34228 describe this species as being a gonochorist (Ref. 28504).  After clarificatory analyses on the protogynous characteristics of this species, gonochorism is confirmed (Ref. 103751).",NA,"crepuscular/diurnal","diurnal","crepuscular",3
"349","Pangasius polyuranodon","Siluriformes","Pangasiidae","Pangasius",3,"present",NA,199220,NA,"Pangasius_polyuranodon",NA,32,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","Papyrocranus afer","Osteoglossiformes","Notopteridae","Papyrocranus",3,"present",NA,239121,NA,"Papyrocranus_afer",NA,9,"freshwater","tropical",NA,"guarders",NA,NA,NA,NA,NA,NA,NA
"351","Parachromis managuensis","Cichliformes","Cichlidae","Parachromis",3,"present","y",797202,NA,"Parachromis_managuensis",NA,25,"freshwater",NA,"two seasonal peaks per year","guarders",NA,"Deposits up to 5,000 eggs on rocks and other hard substrates; both parents guard the eggs and resulting fry (Ref. 44091). Reported to deposit up to 10,496 eggs (Ref. 80549).",NA,NA,NA,NA,NA
"352","Parapercis sexfasciata","Uranoscopiformes","Pinguipedidae","Parapercis",3,"present",NA,132534,NA,"Parapercis_sexfasciata",NA,51,"saltwater","subtropical, tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","Paraplagusia japonica","Pleuronectiformes","Cynoglossidae","Paraplagusia",3,"present",NA,126710,NA,"Paraplagusia_japonica",NA,54,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"354","Parapristipoma trilineatum","Lutjaniformes","Haemulidae","Parapristipoma",3,"present",NA,64274,NA,"Parapristipoma_trilineatum",NA,46,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers","Oviparous, distinct pairing during breeding (Ref. 205).  A couple ascends quickly to the surface and spawns (Ref. 34104).",NA,"nocturnal","nocturnal","nocturnal",-2
"355","Parupeneus barberinoides","Syngnathiformes","Mullidae","Parupeneus",3,"present",NA,758968,NA,"Parupeneus_barberinoides",NA,14,"saltwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"356","Parablennius yatabei","Blenniiformes","Blenniidae","Parablennius",3,"present",NA,155048,NA,"Parablennius_yatabei",NA,54,"saltwater","subtropical",NA,"guarders","nesters","Oviparous, distinct pairing (Ref. 205).",NA,NA,NA,NA,NA
"357","Ophichthus zophistius","Anguilliformes","Ophichthidae","Ophichthus",3,"present",NA,483995,NA,"Ophichthus_zophistius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","Platycephalus indicus","Perciformes","Platycephalidae","Platycephalus",3,"present",NA,599906,NA,"Platycephalus_indicus",NA,27,"saltwater","tropical",NA,"nonguarders",NA,"Also Ref. 103751.",NA,"unclear","unclear/crepuscular","unclear",NA
"359","Pleuragramma antarctica","Perciformes","Nototheniidae","Pleuragramma",3,"present",NA,303042,NA,"Pleuragramma_antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"360","Pleuronichthys cornutus","Pleuronectiformes","Pleuronectidae","Pleuronichthys",3,"present",NA,891078,NA,"Pleuronichthys_cornutus",NA,57,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"361","Pogonophryne scotti","Perciformes","Artedidraconidae","Pogonophryne",3,"present",NA,659897,NA,"Pogonophryne_scotti",NA,103,"saltwater","polar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","Polypterus bichir","Polypteriformes","Polypteridae","Polypterus",3,"present",NA,735234,NA,"Polypterus_bichir",NA,14,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","Porichthys notatus","Batrachoidiformes","Batrachoididae","Porichthys",3.5,"present",NA,720409,NA,"Porichthys_notatus",NA,81,"saltwater","temperate","one clear seasonal peak per year","guarders","nesters","Nests are cavities that are formed under rocks and eggs are deposited on the roof of the cavity. As few as 19 or as much as 789 eggs have been found attached in a nest. Eggs are guarded by the fasting male. Probably polygamous (Ref. 6885).",NA,"nocturnal","nocturnal","nocturnal",-5
"364","Pterophyllum scalare","Cichliformes","Cichlidae","Pterophyllum",3,"present","y",220929,NA,"Pterophyllum_scalare",NA,26,"freshwater","tropical",NA,"guarders","clutch tenders","Males court females during the breeding season. Both male and female guard the eggs which are attached to the surface of aquatic vegetation in a nest area (Ref. 46591). During the entire brooding cycle, bonding of the original pair of parents is maintained complete with defence of each partner against aggression or potential rivals (Ref. 46591).",NA,"diurnal","diurnal","diurnal",1
"365","Psenopsis anomala","Scombriformes","Centrolophidae","Psenopsis",3,"present",NA,137653,NA,"Psenopsis_anomala",NA,40,"saltwater","subtropical",NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",2
"366","Pseudoblennius percoides","Perciformes","Cottidae","Pseudoblennius",3,"present",NA,3632196,NA,"Pseudoblennius_percoides",NA,95,"saltwater","subtropical",NA,"guarders","nesters","Eggs are deposited in the peribranchial cavity of sea squirts (Ref. 34819, 41071).",NA,"diurnal","diurnal","diurnal",1
"367","Pseudolabrus japonicus","Labriformes","Labridae","Pseudolabrus",3,"present",NA,823202,NA,"Pseudolabrus_japonicus",NA,57,"saltwater","subtropical",NA,"nonguarders",NA,"Pelagic spawner.",NA,NA,NA,NA,NA
"368","Pseudopimelodus bufonius","Siluriformes","Pseudopimelodidae","Pseudopimelodus",3,"present",NA,61474,NA,"Pseudopimelodus_bufonius",NA,63,"freshwater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","Pterogobius elapoides","Gobiiformes","Gobiidae","Pterogobius",3,"present",NA,173379,NA,"Pterogobius_elapoides",NA,76,"saltwater","subtropical, tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Pterogobius virgo","Gobiiformes","Gobiidae","Pterogobius",3,"present",NA,173385,NA,"Pterogobius_virgo",NA,76,"saltwater","subtropical, tropical",NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",3
"371","Pteragogus flagellifer","Labriformes","Labridae","Pteragogus",3,"present",NA,351871,NA,"Pteragogus_flagellifer",NA,34,"saltwater","tropical",NA,NA,NA,"Oviparous, distinct pairing during breeding (Ref. 205).",NA,"diurnal","diurnal","diurnal",5
"372","Pyrrhulina australis","Characiformes","Lebiasinidae","Pyrrhulina",3,"present",NA,435753,NA,"Pyrrhulina_australis",NA,30,"freshwater","tropical",NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",4
"373","Repomucenus richardsonii","Syngnathiformes","Callionymidae","Repomucenus",3,"present",NA,473931,NA,"Repomucenus_richardsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unclear","unclear/crepuscular","unclear",NA
"374","Rita rita","Siluriformes","Bagridae","Rita",3,"present",NA,23762,NA,"Rita_rita",NA,56,"freshwater","subtropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"375","Oncorhynchus mykiss gairdneri","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","y",57412,"infraspecific","Oncorhynchus_mykiss gairdneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Salvelinus leucomaenis","Salmoniformes","Salmonidae","Salvelinus",3,"present",NA,688317,NA,"Salvelinus_leucomaenis",NA,79,NA,"temperate",NA,"nonguarders","brood hiders","Distinct pairing (Ref. 205).",NA,"crepuscular/diurnal","diurnal","crepuscular",3
"377","Salvelinus fontinalis","Salmoniformes","Salmonidae","Salvelinus",3,"present","y",688339,NA,"Salvelinus_fontinalis",NA,75,"freshwater","temperate","one clear seasonal peak per year","nonguarders","brood hiders","Courtship begins with a male attempting to drive a female toward suitable spawning gravel. A receptive female chooses a spot and digs a redd. While the female is digging, the male continues courtship activity, darting alongside the female and quivering, swimming over and under her and rubbing her with his fins; most of the time however, is spent driving off other males. When the redd is completed, the pair enter the nest and deposit eggs and milt. After spawning the female covers the eggs by sweeping small pebbles at the downstream edge of the redd upstream. Once the eggs are completely covered, she moves to the upstream end of the redd and begins digging a new redd (Ref. 27547).",NA,"diurnal","diurnal","diurnal",1
"378","Sargocentron sp.","Holocentriformes","Holocentridae","Sargocentron",3,"present",NA,983871,"not_otu, incertae_sedis","Sargocentron_sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Saurida undosquamis","Aulopiformes","Synodontidae","Saurida",3,"present",NA,802170,NA,"Saurida_undosquamis",NA,24,"saltwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"diurnal","diurnal","diurnal",2
"380","Scatophagus argus","Acanthuriformes","Scatophagidae","Scatophagus",3,"present","y",773212,NA,"Scatophagus_argus",NA,21,"saltwater","tropical","one clear seasonal peak per year","guarders","nesters","Multiple spawner (Ref. 102820).",NA,"crepuscular/diurnal","diurnal","crepuscular",1
"381","Scomber japonicus","Scombriformes","Scombridae","Scomber",3,"present","y",70556,NA,"Scomber_japonicus",NA,50,"saltwater","tropical","variable throughout range","nonguarders","open water/substratum egg scatterers","Spawning most often occurs at water temperatures of 15° to 20°C.  Spawn in several batches with 250 to 300 eggs per g of fish with the total number of eggs per female ranging from 100,000 to 400,000.",NA,"nocturnal","nocturnal","nocturnal",-2
"382","Sebastes inermis","Perciformes","Sebastidae","Sebastes",3,"present","y",767460,"sibling_higher","Sebastes_inermis",NA,62,"saltwater","subtropical","one clear seasonal peak per year","bearers","internal live bearers","Males established territories ranging from 12 to 70 sq. m; initiated courtship when females approached the territories; lateral display, rushing and turning movements were frequently observed during courtship. Mating pair formed about 30 min before copulation; the pair ascended to 1.5-2.0 m above bottom then males suddenly coiled around the body of females to copulate.",NA,"nocturnal","nocturnal","nocturnal",-4
"383","Sebastes schlegelii","Perciformes","Sebastidae","Sebastes",3.25,"present","y",206127,"sibling_higher","Sebastes_schlegelii",NA,64,"saltwater","subtropical, temperate",NA,"bearers","internal live bearers","Reported as ovoviviparous (Ref. 205).",NA,"diurnal","diurnal","diurnal",4
"384","Sebastes hubbsi","Perciformes","Sebastidae","Sebastes",3,"present","y",778320,"sibling_higher","Sebastes_hubbsi",NA,54,"saltwater","subtropical, temperate",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"385","Sebastiscus marmoratus","Perciformes","Sebastidae","Sebastiscus",3,"present",NA,986386,NA,"Sebastiscus_marmoratus",NA,40,"saltwater","subtropical","one clear seasonal peak per year","bearers","internal live bearers","The species is viviparous (Ref. 5475).",NA,"nocturnal","nocturnal","nocturnal",-3
"386","Seriola quinqueradiata","Carangiformes","Carangidae","Seriola",3,"present","y",186469,NA,"Seriola_quinqueradiata",NA,45,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"diurnal","diurnal","diurnal",5
"387","Siganus fuscescens","Acanthuriformes","Siganidae","Siganus",3,"present","y",927037,NA,"Siganus_fuscescens",NA,17,"saltwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","In Belau, ripe individuals form prespawning congregations of 30-60 individuals in shoal areas of inner reef flats; spawning occurs on the 4th or 5th day of the new moon; spawning sites are near reef edge. About 300,000 eggs/female at a single spawning. Individuals that spawn in consecutive yrs. & that 2+ yr. class fish could spawn more than once in a single season. Aug (Ref 1754) in Belau.",NA,"diurnal","diurnal","diurnal",4
"388","Sillago japonica","Perciformes","Sillaginidae","Sillago",3,"present",NA,56114,NA,"Sillago_japonica",NA,54,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"diurnal","diurnal","diurnal",3
"389","Solea senegalensis","Pleuronectiformes","Soleidae","Solea",3,"present","y",366998,NA,"Solea_senegalensis",NA,60,"saltwater","subtropical",NA,"nonguarders",NA,NA,NA,"crepuscular/nocturnal","nocturnal","crepuscular",-5
"390","Sphaeramia nematoptera","Kurtiformes","Apogonidae","Sphaeramia",3,"present",NA,799234,NA,"Sphaeramia_nematoptera",NA,14,"saltwater","tropical",NA,"bearers","external brooders","Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).",NA,"nocturnal","nocturnal","nocturnal",-1
"391","Sphyraena pinguis","Acanthomorphata","Sphyraenidae","Sphyraena",3,"present",NA,691678,"incertae_sedis_inherited","Sphyraena_pinguis",NA,52,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"392","Steindachneridion parahybae","Siluriformes","Pimelodidae","Steindachneridion",3,"present",NA,297574,NA,"Steindachneridion_parahybae",NA,63,"freshwater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Stephanolepis cirrhifer","Tetraodontiformes","Monacanthidae","Stephanolepis",3,"present",NA,191033,NA,"Stephanolepis_cirrhifer",NA,54,"saltwater","subtropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
