"","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity","climate","Spawning","RepGuild1","RepGuild2","AddInfos","FeedingType","diel","diel1","diel2","diel_continuous"
"39","Poecilia reticulata","Cyprinodontiformes","Poeciliidae","Poecilia",0,"absent","y",312452,NA,"Poecilia_reticulata",NA,20,"freshwater",NA,"no obvious seasonal peak","bearers","internal live bearers","Males are about half the size of females with colorful tail and caudal fin; the anal fin is transformed into a gonopodium for internal fertilization. Males are continuously chasing and mating females. Females can store sperms for later fertilization and may produce young every four weeks. Pregnant females are recognizable by black triangle between anal and pelvic fins. After a gestation period of four to six weeks females give birth to 20-40 live young. No parental care is exercised and parents may even prey on their young.",NA,"diurnal","diurnal","diurnal",4
"40","Taeniacara candidi","Cichliformes","Cichlidae","Taeniacara",0,"absent",NA,128244,NA,"Taeniacara_candidi",NA,12,"freshwater","tropical",NA,"guarders","clutch tenders","The male is very active sexually and it spawns with several females, even at the same time. Females care for the eggs and larvae. They even chew the fry loose from the egg case after a few days of development (Ref. 12251).  Female attaches the offspring at the ceiling of caves (Ref. 47893).",NA,NA,NA,NA,NA
"41","Chaetodon miliaris","Chaetodontiformes","Chaetodontidae","Chaetodon",1,"present",NA,766706,NA,"Chaetodon_miliaris",NA,42,"saltwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","Distinct pairing (Ref. 205).",NA,NA,NA,NA,NA
"42","Chaetodon multicinctus","Chaetodontiformes","Chaetodontidae","Chaetodon",1,"present",NA,766709,NA,"Chaetodon_multicinctus",NA,82,"saltwater","subtropical, tropical",NA,"nonguarders","open water/substratum egg scatterers","Form pairs during breeding (Ref. 205). Monogamous mating is observed as obligate, genetic and social (Ref. 52884).",NA,"diurnal","diurnal","diurnal",2
"43","Cyprinus carpio","Cypriniformes","Cyprinidae","Cyprinus",1,"present","y",429083,NA,"Cyprinus_carpio",NA,63,"freshwater","temperate","variable throughout range","nonguarders","open water/substratum egg scatterers","Spawn in marginal, shallow, weed-infested areas. A polytypic plastic species with a marked tendency to produce `varieties' and `races' in response to selective breeding and environmental influences. Carp is polygamous. A spawning female is usually followed by several males. Under tropical conditions carp breeds throughout the year. It is a seasonal spawner in temperate waters (Ref. 185).  Females are known to lay more than a million eggs in a season; breeds at a temperature range of 15° C to 20°C; eggs hatch in 4 days (Ref. 6028). Obligatory plant spawners (Ref. 7471). ""Adults often make considerable spawning migrations to suitable backwaters and flooded meadows.  Individual females spawn with a few males in dense vegetation.  The sticky eggs are attached to water plants or other submerged objects. Reproductive success is restricted to years when the water level starts rising in May and when high temperatures and flooding of terrestrial vegetation last for a long period during May and June"" (Ref. 59043).",NA,"diurnal","diurnal","diurnal",5
"44","Echeneis naucrates","Carangiformes","Echeneidae","Echeneis",1,"present","y",776562,NA,"Echeneis_naucrates",NA,29,"saltwater","tropical",NA,"nonguarders",NA,NA,NA,"nocturnal","nocturnal","nocturnal",-2
"45","Acarichthys heckelii","Cichliformes","Cichlidae","Acarichthys",NA,"present",NA,16170,NA,"Acarichthys_heckelii",NA,NA,"freshwater","tropical",NA,"guarders","nesters","A hole nester.",NA,NA,NA,NA,NA
"46","Acipenser baerii","Acipenseriformes","Acipenseridae","Acipenser",3.25,"present",NA,518827,NA,"Acipenser_baerii",NA,96,"freshwater","boreal","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Potamodromous species (Ref. 57765). In a natural environment, males reach sexual maturity at 9-1 5 years of age and females at 16-20 years (in water recirculation systems, sexual maturity can first occur at 5 years). Spawning happens in the summer and generally every two years. Membranes on eggs become increasingly more sticky after fertilization and this allows them to stick to the substratum. This can become a problem in nurseries, but it is solved by washing the eggs in clay or diatomaceous earth suspensions. Caviar (not fecundated ovocites ) can be over 1 0% of the corporal weight of a mature female. Incubation
lasts about 1 6 days (at 10-1 5°). Larval development lasts about 20 days (at 18°). Egg size 3.0-3.6 mm, larval length at hatching 10-12 mm.",NA,"nocturnal","nocturnal","nocturnal",-3
"47","Acipenser transmontanus","Acipenseriformes","Acipenseridae","Acipenser",1,"present","y",378925,NA,"Acipenser_transmontanus",NA,83,"freshwater","boreal, subtropical",NA,"nonguarders","open water/substratum egg scatterers","Adults return to the sea after spawning (Ref. 27547). Spawning frequency interval every 4 years for younger females and every 10-11 years in older females (Ref. 1998).",NA,"nocturnal","nocturnal","nocturnal",-4
"48","Apareiodon affinis","Characiformes","Parodontidae","Apareiodon",NA,"present",NA,533482,NA,"Apareiodon_affinis",NA,NA,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
