"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude"
"21",21,"Bovichtus diacanthus","Perciformes","Bovichtidae","Bovichtus",1,"present","y",842177,"","Bovichtus_diacanthus",NA,NA
"22",22,"Clarias gariepinus","Siluriformes","Clariidae","Clarias",NA,"present","y",240811,"","Clarias_gariepinus",NA,10
"23",23,"Clupea harengus","Clupeiformes","Clupeidae","Clupea",NA,"present","y",1005932,"","Clupea_harengus",NA,60
"24",24,"Ctenopharyngodon idella","Cypriniformes","Cyprinidae","Ctenopharyngodon",1,"present","y",1005936,"","Ctenopharyngodon_idella",NA,35
"25",25,"Diplomystes mesembrinus","Siluriformes","Diplomystidae","Diplomystes",1,"present","",536094,"","Diplomystes_mesembrinus",NA,NA
"26",26,"Erpetoichthys calabaricus","Polypteriformes","Polypteridae","Erpetoichthys",NA,"present","y",451269,"","Erpetoichthys_calabaricus",NA,6
"27",27,"Rhinogobius flumineus","Gobiiformes","Gobiidae","Rhinogobius",1,"present","",518755,"","Rhinogobius_flumineus",NA,35.5
"28",28,"Diplodus sargus","Spariformes","Sparidae","Diplodus",3.25,"present","y",239665,"","Diplodus_sargus",NA,41
"29",29,"Gambusia affinis","Cyprinodontiformes","Poeciliidae","Gambusia",0,"absent","y",617445,"","Gambusia_affinis",NA,28.5
"30",30,"Coryphaena hippurus","Carangiformes","Coryphaenidae","Coryphaena",3,"present","",223663,"","Coryphaena_hippurus",NA,22
"31",31,"Katsuwonus pelamis","Scombriformes","Scombridae","Katsuwonus",1,"present","y",308754,"","Katsuwonus_pelamis",NA,22
"32",32,"Xiphias gladius","Istiophoriformes","Xiphiidae","Xiphias",0,"absent","y",358621,"","Xiphias_gladius",NA,24.5
"33",33,"Lepomis macrochirus","Centrarchiformes","Centrarchidae","Lepomis",2,"present","y",836783,"","Lepomis_macrochirus",NA,35
"34",34,"Neolamprologus brichardi","Cichliformes","Cichlidae","Neolamprologus",0,"absent","y",279935,"","Neolamprologus_brichardi",NA,18
"35",35,"Nothobranchius furzeri","Cyprinodontiformes","Nothobranchiidae","Nothobranchius",0,"absent","y",513643,"","Nothobranchius_furzeri",NA,30.5
"36",36,"Odontesthes bonariensis","Atheriniformes","Atherinopsidae","Odontesthes",0,"absent","y",960735,"","Odontesthes_bonariensis",NA,33.5
"37",37,"Rastrelliger brachysoma","Scombriformes","Scombridae","Rastrelliger",3,"present","y",916275,"","Rastrelliger_brachysoma",NA,13
"38",38,"Phoxinus phoxinus","Cypriniformes","Cyprinidae","Phoxinus",0,"absent","y",1019917,"","Phoxinus_phoxinus",NA,52
"39",39,"Poecilia reticulata","Cyprinodontiformes","Poeciliidae","Poecilia",0,"absent","y",312452,"","Poecilia_reticulata",NA,14.5
"40",40,"Taeniacara candidi","Cichliformes","Cichlidae","Taeniacara",0,"absent","",128244,"","Taeniacara_candidi",NA,10
