"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude"
"202",202,"Mylesinus paucisquamatus","Characiformes","Serrasalmidae","Mylesinus",1,"present","",506578,"","Mylesinus_paucisquamatus",NA,17
"203",203,"Myleus torquatus","Characiformes","Serrasalmidae","Myleus",1,"present","",3625318,"","Myleus_torquatus",NA,NA
"204",204,"Neogobius melanostomus","Gobiiformes","Gobiidae","Neogobius",1,"present","y",475633,"","Neogobius_melanostomus",NA,48
"205",205,"Notothenia angustata","Perciformes","Nototheniidae","Notothenia",1,"present","",781788,"","Notothenia_angustata",NA,51.5
"206",206,"Odontobutis obscura","Gobiiformes","Odontobutidae","Odontobutis",1,"present","",599816,"","Odontobutis_obscura",NA,NA
"207",207,"Ophthalmolycus amberensis","Perciformes","Zoarcidae","Ophthalmolycus",1,"present","y",31294,"","Ophthalmolycus_amberensis",NA,68
"208",208,"Opsariichthys uncirostris","Cypriniformes","Cyprinidae","Opsariichthys",1,"present","",26746,"","Opsariichthys_uncirostris",NA,44.5
"209",209,"Parachaenichthys charcoti","Perciformes","Bathydraconidae","Parachaenichthys",1,"present","",185362,"","Parachaenichthys_charcoti",NA,68
"210",210,"Paracheirodon innesi","Characiformes","Characidae","Paracheirodon",1,"present","",783059,"","Paracheirodon_innesi",NA,26.5
"211",211,"Paranotothenia magellanica","Perciformes","Nototheniidae","Paranotothenia",1,"present","",229704,"","Paranotothenia_magellanica",NA,55
"212",212,"Patagonotothen ramsayi","Perciformes","Nototheniidae","Patagonotothen",1,"present","",525441,"","Patagonotothen_ramsayi",NA,63
"213",213,"Perca fluviatilis","Perciformes","Percidae","Perca",2,"present","y",186488,"","Perca_fluviatilis",NA,49
"214",214,"Phenacogrammus interruptus","Characiformes","Alestidae","Phenacogrammus",1,"present","y",259776,"","Phenacogrammus_interruptus",NA,3
"215",215,"Plecoglossus altivelis","Osmeriformes","Plecoglossidae","Plecoglossus",2,"present","y",486933,"","Plecoglossus_altivelis",NA,35
"216",216,"Pseudaphritis urvillii","Perciformes","Pseudaphritidae","Pseudaphritis",1,"present","y",292713,"","Pseudaphritis_urvillii",NA,26
"217",217,"Pseudogobio esocinus","Cypriniformes","Cyprinidae","Pseudogobio",1,"present","",424407,"","Pseudogobio_esocinus",NA,35.5
"218",218,"Pseudopimelodus mangurus","Siluriformes","Pseudopimelodidae","Pseudopimelodus",3,"present","",61478,"","Pseudopimelodus_mangurus",NA,27.5
"219",219,"Pseudorasbora parva","Cypriniformes","Cyprinidae","Pseudorasbora",1,"present","y",205442,"","Pseudorasbora_parva",NA,42
"220",220,"Pungtungia herzi","Cypriniformes","Cyprinidae","Pungtungia",1,"present","",523420,"","Pungtungia_herzi",NA,35.5
"221",221,"Pygocentrus piraya","Characiformes","Serrasalmidae","Pygocentrus",1,"present","",900299,"","Pygocentrus_piraya",NA,20
"222",222,"Pygocentrus nattereri","Characiformes","Serrasalmidae","Pygocentrus",2,"present","y",649803,"","Pygocentrus_nattereri",NA,19.5
"223",223,"Racovitzia glacialis","Perciformes","Bathydraconidae","Racovitzia",1,"present","",217712,"","Racovitzia_glacialis",NA,66
"224",224,"Rhinogobius brunneus","Gobiiformes","Gobiidae","Rhinogobius",1,"present","",238894,"","Rhinogobius_brunneus",NA,41
"225",225,"Salangichthys microdon","Osmeriformes","Salangidae","Salangichthys",1,"present","",348842,"","Salangichthys_microdon",NA,60
"226",226,"Salmo salar","Salmoniformes","Salmonidae","Salmo",3,"present","y",688328,"","Salmo_salar",NA,52.5
"227",227,"Sarcocheilichthys variegatus","Cypriniformes","Cyprinidae","Sarcocheilichthys",1,"present","",333930,"","Sarcocheilichthys_variegatus",NA,34.5
"228",228,"Sardinella zunasi","Clupeiformes","Clupeidae","Sardinella",1,"present","",39728,"","Sardinella_zunasi",NA,31
"229",229,"Sardinops melanostictus","Clupeiformes","Clupeidae","Sardinops",1,"present","",318896,"","Sardinops_melanostictus",NA,NA
"230",230,"Satanoperca acuticeps","Cichliformes","Cichlidae","Satanoperca",1,"present","",784676,"","Satanoperca_acuticeps",NA,17.5
"231",231,"Ischikauia steenackeri","Cypriniformes","Cyprinidae","Ischikauia",1,"present","",84197,"","Ischikauia_steenackeri",NA,35.5
"232",232,"Steindachnerina brevipinna","Characiformes","Curimatidae","Steindachnerina",1,"present","",3624501,"","Steindachnerina_brevipinna",NA,27
"233",233,"Synodontis nigriventris","Siluriformes","Mochokidae","Synodontis",1,"present","",315243,"","Synodontis_nigriventris",NA,4
"234",234,"Takifugu alboplumbeus","Tetraodontiformes","Tetraodontidae","Takifugu",1,"present","",465414,"","Takifugu_alboplumbeus",NA,35.5
"235",235,"Tridentiger obscurus","Gobiiformes","Gobiidae","Tridentiger",1,"present","",98404,"","Tridentiger_obscurus",NA,44.5
"236",236,"Vinciguerria nimbaria","Stomiiformes","Phosichthyidae","Vinciguerria",1,"present","",652358,"","Vinciguerria_nimbaria",NA,32
"237",237,"Vomeridens infuscipinnis","Perciformes","Bathydraconidae","Vomeridens",1,"present","y",280419,"","Vomeridens_infuscipinnis",NA,66
"238",238,"Zacco platypus","Cypriniformes","Cyprinidae","Zacco",1,"present","y",652452,"","Zacco_platypus",NA,30
"239",239,"Nipponocypris temminckii","Cypriniformes","Cyprinidae","Nipponocypris",1,"present","",361232,"","Nipponocypris_temminckii",NA,35
"240",240,"Acanthogobius flavimanus","Gobiiformes","Gobiidae","Acanthogobius",1.5,"present","",705150,"","Acanthogobius_flavimanus",NA,33.5
"241",241,"Acestrorhynchus altus","Characiformes","Acestrorhynchidae","Acestrorhynchus",1.5,"present","y",845247,"","Acestrorhynchus_altus",NA,17.5
"242",242,"Acipenser ruthenus","Acipenseriformes","Acipenseridae","Acipenser",2.25,"present","y",378930,"","Acipenser_ruthenus",NA,54
"243",243,"Bunocephalus coracoideus","Siluriformes","Aspredinidae","Bunocephalus",1.5,"present","",693715,"","Bunocephalus_coracoideus",NA,17.5
"244",244,"Catoprion mento","Characiformes","Serrasalmidae","Catoprion",1.5,"present","",597343,"","Catoprion_mento",NA,15
"245",245,"Chilodus punctatus","Characiformes","Chilodontidae","Chilodus",1.5,"present","",442783,"","Chilodus_punctatus",NA,13
"246",246,"Synaptura selheimi","Pleuronectiformes","Soleidae","Brachirus",1.5,"present","",3640687,"","Synaptura_selheimi",NA,NA
"247",247,"Glossogobius olivaceus","Gobiiformes","Gobiidae","Glossogobius",1.5,"present","",80171,"","Glossogobius_olivaceus",NA,25.5
"248",248,"Gyrinocheilus aymonieri","Cypriniformes","Gyrinocheilidae","Gyrinocheilus",1.5,"present","",341392,"","Gyrinocheilus_aymonieri",NA,13
"249",249,"Hippocampus coronatus","Syngnathiformes","Syngnathidae","Hippocampus",1.5,"present","",503882,"","Hippocampus_coronatus",NA,43
"250",250,"Macrognathus aculeatus","Synbranchiformes","Mastacembelidae","Macrognathus",2.25,"present","",758692,"","Macrognathus_aculeatus",NA,30.5
"251",251,"Malapterurus electricus","Siluriformes","Malapteruridae","Malapterurus",1.5,"present","",566351,"","Malapterurus_electricus",NA,7
"252",252,"Mastacembelus erythrotaenia","Synbranchiformes","Mastacembelidae","Mastacembelus",1.5,"present","",633395,"","Mastacembelus_erythrotaenia",NA,12.5
"253",253,"Plotosus lineatus","Siluriformes","Plotosidae","Plotosus",1.5,"present","y",949069,"","Plotosus_lineatus",NA,13
"254",254,"Tridentiger trigonocephalus","Gobiiformes","Gobiidae","Tridentiger",1.5,"present","",98400,"","Tridentiger_trigonocephalus",NA,33.5
"255",255,"Abudefduf abdominalis","Acanthomorphata","Pomacentridae","Abudefduf",3,"present","",809329,"incertae_sedis_inherited","Abudefduf_abdominalis",NA,29.5
"256",256,"Acanthopagrus schlegelii","Spariformes","Sparidae","Acanthopagrus",3,"present","y",380194,"","Acanthopagrus_schlegelii",NA,25
"257",257,"Acaronia nassa","Cichliformes","Cichlidae","Acaronia",3,"present","",170137,"","Acaronia_nassa",NA,10
"258",258,"Acestrorhynchus falcatus","Characiformes","Acestrorhynchidae","Acestrorhynchus",3,"present","",845253,"","Acestrorhynchus_falcatus",NA,7
"259",259,"Acipenser fulvescens","Acipenseriformes","Acipenseridae","Acipenser",3,"present","",698270,"","Acipenser_fulvescens",NA,46
"260",260,"Acnodon normani","Characiformes","Serrasalmidae","Acnodon",3,"present","",179103,"","Acnodon_normani",NA,15.5
"261",261,"Aeoliscus strigatus","Syngnathiformes","Centriscidae","Aeoliscus",3,"present","y",652346,"incertae_sedis_inherited","Aeoliscus_strigatus",NA,12
"262",262,"Agamyxis pectinifrons","Siluriformes","Doradidae","Agamyxis",3,"present","",50909,"","Agamyxis_pectinifrons",NA,17.5
"263",263,"Akarotaxis nudiceps","Perciformes","Bathydraconidae","Akarotaxis",3.25,"present","y",682053,"","Akarotaxis_nudiceps",NA,68
"264",264,"Allenbatrachus grunniens","Batrachoidiformes","Batrachoididae","Allenbatrachus",3,"present","",706464,"","Allenbatrachus_grunniens",NA,23
"265",265,"Amphiprion clarkii","Acanthomorphata","Pomacentridae","Amphiprion",3,"present","y",674637,"incertae_sedis_inherited","Amphiprion_clarkii",NA,13
"266",266,"Anguilla japonica","Anguilliformes","Anguillidae","Anguilla",3,"present","y",854198,"","Anguilla_japonica",NA,24.5
"267",267,"Anoplopoma fimbria","Perciformes","Anoplopomatidae","Anoplopoma",1,"present","y",441856,"","Anoplopoma_fimbria",NA,49
"268",268,"Arctoscopus japonicus","Perciformes","Trichodontidae","Arctoscopus",3,"present","",883978,"","Arctoscopus_japonicus",NA,52
"269",269,"Asterropteryx semipunctata","Gobiiformes","Gobiidae","Asterropteryx",3,"present","",37552,"","Asterropteryx_semipunctata",NA,17.5
"270",270,"Barbus petenyi","Cypriniformes","Cyprinidae","Barbus",3,"present","",763568,"","Barbus_petenyi",NA,46.5
"271",271,"Bathygobius fuscus","Gobiiformes","Gobiidae","Bathygobius",3,"present","",877729,"","Bathygobius_fuscus",NA,23
"272",272,"Batrochoglanis raninus","Siluriformes","Pseudopimelodidae","Batrochoglanis",3,"present","",9881,"","Batrochoglanis_raninus",NA,17.5
"273",273,"Brycon orbignyanus","Characiformes","Bryconidae","Brycon",3,"present","",206748,"","Brycon_orbignyanus",NA,27
"274",274,"Bujurquina vittata","Cichliformes","Cichlidae","Bujurquina",3,"present","y",498815,"","Bujurquina_vittata",NA,24
"275",275,"Centropyge bispinosa","Perciformes","Pomacanthidae","Centropyge",3,"present","",439843,"","Centropyge_bispinosa",NA,13
"276",276,"Cephalosilurus fowleri","Siluriformes","Pseudopimelodidae","Cephalosilurus",3.25,"present","",3624192,"","Cephalosilurus_fowleri",NA,20
"277",277,"Chaca chaca","Siluriformes","Chacidae","Chaca",3,"present","",45408,"","Chaca_chaca",NA,24.5
"278",278,"Chaetobranchus flavescens","Cichliformes","Cichlidae","Chaetobranchus",3,"present","",744497,"","Chaetobranchus_flavescens",NA,13
"279",279,"Chaetodon vagabundus","Chaetodontiformes","Chaetodontidae","Chaetodon",3,"present","",655872,"","Chaetodon_vagabundus",NA,13
"280",280,"Channa sp.","Anabantiformes","Channidae","Channa",3,"present","",983868,"not_otu","Channa_sp.",NA,NA
"281",281,"Chrysiptera cyanea","Acanthomorphata","Pomacentridae","Chrysiptera",3,"present","y",43505,"incertae_sedis_inherited","Chrysiptera_cyanea",NA,13
"282",282,"Cichla kelberi","Cichliformes","Cichlidae","Cichla",3,"present","",187228,"","Cichla_kelberi",NA,18.5
"283",283,"Cichlasoma dimerus","Cichliformes","Cichlidae","Cichlasoma",3,"present","",607611,"sibling_higher","Cichlasoma_dimerus",NA,26
"284",284,"Thorichthys meeki","Cichliformes","Cichlidae","Thorichthys",3,"present","",207017,"","Thorichthys_meeki",NA,NA
"285",285,"Cichlasoma paranaense","Cichliformes","Cichlidae","Cichlasoma",3,"present","",167686,"sibling_higher","Cichlasoma_paranaense",NA,27.5
"286",286,"Cirrhinus mrigala","Cypriniformes","Cyprinidae","Cirrhinus",3,"present","y",10821,"","Cirrhinus_mrigala",NA,28.5
"287",287,"Coregonus lavaretus","Salmoniformes","Salmonidae","Coregonus",2,"present","y",872355,"","Coregonus_lavaretus",NA,46
"288",288,"Cottus pollux","Perciformes","Cottidae","Cottus",3,"present","",1000752,"","Cottus_pollux",NA,35.5
"289",289,"Cruciglanis pacifici","Siluriformes","Pseudopimelodidae","Cruciglanis",3,"present","",3624195,"","Cruciglanis_pacifici",NA,37.5
"290",290,"Ctenopoma acutirostre","Anabantiformes","Anabantidae","Ctenopoma",3,"present","",774818,"","Ctenopoma_acutirostre",NA,4
"291",291,"Dascyllus aruanus","Acanthomorphata","Pomacentridae","Dascyllus",3,"present","",49239,"incertae_sedis_inherited","Dascyllus_aruanus",NA,12
"292",292,"Decapterus maruadsi","Carangiformes","Carangidae","Decapterus",3,"present","y",766162,"","Decapterus_maruadsi",NA,22.5
"293",293,"Dictyosoma burgeri","Perciformes","Stichaeidae","Dictyosoma",3,"present","",783192,"","Dictyosoma_burgeri",NA,37
"294",294,"Dissostichus eleginoides","Perciformes","Nototheniidae","Dissostichus",3,"present","y",1040385,"","Dissostichus_eleginoides",NA,60
"295",295,"Ditrema temminckii","Acanthomorphata","Embiotocidae","Ditrema",3,"present","",43516,"incertae_sedis_inherited","Ditrema_temminckii",NA,43
"296",296,"Doederleinia berycoides","Pempheriformes","Acropomatidae","Doederleinia",3,"present","",1005375,"","Doederleinia_berycoides",NA,23.5
"297",297,"Pholis nebulosa","Perciformes","Pholidae","Pholis",3,"present","",1084060,"","Pholis_nebulosa",NA,37
"298",298,"Entomacrodus stellifer","Blenniiformes","Blenniidae","Entomacrodus",3,"present","",3639477,"","Entomacrodus_stellifer",NA,44.5
"299",299,"Eopsetta grigorjewi","Pleuronectiformes","Pleuronectidae","Eopsetta",3.25,"present","",331920,"","Eopsetta_grigorjewi",NA,32.5
"300",300,"Hyporthodus septemfasciatus","Perciformes","Serranidae","Hyporthodus",3,"present","",481019,"","Hyporthodus_septemfasciatus",NA,32.5
"301",301,"Epinephelus coioides","Perciformes","Serranidae","Epinephelus",3.25,"present","y",457795,"","Epinephelus_coioides",NA,18.5
"302",302,"Favonigobius gymnauchen","Gobiiformes","Gobiidae","Favonigobius",3,"present","",100808,"","Favonigobius_gymnauchen",NA,25.5
"303",303,"Pseudanthias squamipinnis","Perciformes","Serranidae","Pseudanthias",3,"present","",26905,"","Pseudanthias_squamipinnis",NA,13.5
"304",304,"Gadus macrocephalus","Gadiformes","Gadidae","Gadus",3,"present","y",56885,"","Gadus_macrocephalus",NA,53.5
"305",305,"Gasterosteus aculeatus","Perciformes","Gasterosteidae","Gasterosteus",3,"present","y",401066,"","Gasterosteus_aculeatus",NA,50
"306",306,"Gasterosteus aculeatus aculeatus","Perciformes","Gasterosteidae","Gasterosteus",3,"present","y",111122,"infraspecific","Gasterosteus_aculeatus aculeatus",NA,NA
"307",307,"Girella punctata","Centrarchiformes","Kyphosidae","Girella",3,"present","",188324,"","Girella_punctata",NA,28
"308",308,"Glossanodon semifasciatus","Argentiniformes","Argentinidae","Glossanodon",3,"present","",562634,"","Glossanodon_semifasciatus",NA,34
"309",309,"Gnathonemus petersii","Osteoglossiformes","Mormyridae","Gnathonemus",3,"present","",115478,"","Gnathonemus_petersii",NA,5.5
"310",310,"Gymnocorymbus ternetzi","Characiformes","Characidae","Gymnocorymbus",3,"present","",783051,"","Gymnocorymbus_ternetzi",NA,24
"311",311,"Gymnodraco acuticeps","Perciformes","Bathydraconidae","Gymnodraco",3.5,"present","y",781785,"","Gymnodraco_acuticeps",NA,68
"312",312,"Gymnotus pantherinus","Gymnotiformes","Gymnotidae","Gymnotus",3,"present","",445404,"","Gymnotus_pantherinus",NA,37.5
"313",313,"Parajulis poecilepterus","Labriformes","Labridae","Parajulis",3,"present","",127504,"","Parajulis_poecilepterus",NA,22.5
"314",314,"Halichoeres tenuispinis","Labriformes","Labridae","Halichoeres",3,"present","",1095891,"","Halichoeres_tenuispinis",NA,34
"315",315,"Batrachomoeus trispinosus","Batrachoidiformes","Batrachoididae","Batrachomoeus",3,"present","",713029,"","Batrachomoeus_trispinosus",NA,16
"316",316,"Hemiodus semitaeniatus","Characiformes","Hemiodontidae","Hemiodus",3,"present","",3624386,"","Hemiodus_semitaeniatus",NA,13.5
"317",317,"Hemiodus sterni","Characiformes","Hemiodontidae","Hemiodus",3,"present","",3624388,"","Hemiodus_sterni",NA,17.5
"318",318,"Hexagrammos agrammus","Perciformes","Hexagrammidae","Hexagrammos",3,"present","",185865,"","Hexagrammos_agrammus",NA,37
"319",319,"Hippocampus guttulatus","Syngnathiformes","Syngnathidae","Hippocampus",3,"present","y",630164,"","Hippocampus_guttulatus",NA,41.5
"320",320,"Hypodytes rubripinnis","Perciformes","Tetrarogidae","Hypodytes",3,"present","y",463550,"","Hypodytes_rubripinnis",NA,NA
"321",321,"Hypomesus nipponensis","Osmeriformes","Osmeridae","Hypomesus",3,"present","y",37114,"","Hypomesus_nipponensis",NA,41.5
"322",322,"Lagocephalus wheeleri","Tetraodontiformes","Tetraodontidae","Lagocephalus",3,"present","",986276,"","Lagocephalus_wheeleri",NA,28
"323",323,"Lateolabrax japonicus","Pempheriformes","Lateolabracidae","Lateolabrax",3,"present","",186480,"","Lateolabrax_japonicus",NA,33
"324",324,"Pseudomystus siamensis","Siluriformes","Bagridae","Pseudomystus",3,"present","",566357,"","Pseudomystus_siamensis",NA,13
"325",325,"Nuchequula nuchalis","Chaetodontiformes","Leiognathidae","Nuchequula",3,"present","",89840,"","Nuchequula_nuchalis",NA,23
"326",326,"Lepidotrigla microptera","Perciformes","Triglidae","Lepidotrigla",3,"present","",438423,"","Lepidotrigla_microptera",NA,34
"327",327,"Leporinus fasciatus","Characiformes","Anostomidae","Leporinus",3,"present","",546980,"","Leporinus_fasciatus",NA,17.5
"328",328,"Rutilus rutilus","Cypriniformes","Cyprinidae","Rutilus",3,"present","y",421037,"","Rutilus_rutilus",NA,50.5
"329",329,"Pseudopleuronectes yokohamae","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",3,"present","y",608831,"","Pseudopleuronectes_yokohamae",NA,38
"330",330,"Planiliza haematocheilus","Mugiliformes","Mugilidae","Planiliza",3,"present","y",963124,"","Planiliza_haematocheilus",NA,41
"331",331,"Inimicus japonicus","Perciformes","Synanceiidae","Inimicus",3,"present","",301023,"","Inimicus_japonicus",NA,27.5
"332",332,"Lophius litulon","Lophiiformes","Lophiidae","Lophius",3,"present","",607757,"","Lophius_litulon",NA,34
"333",333,"Microcanthus strigatus","Centrarchiformes","Kyphosidae","Microcanthus",3,"present","",188292,"","Microcanthus_strigatus",NA,24
"334",334,"Monodactylus argenteus","Perciformes","Monodactylidae","Monodactylus",3,"present","",763919,"","Monodactylus_argenteus",NA,14
"335",335,"Mormyrus kannume","Osteoglossiformes","Mormyridae","Mormyrus",3,"present","",3643916,"","Mormyrus_kannume",NA,4.5
"336",336,"Muraenolepis microps","Gadiformes","Muraenolepididae","Muraenolepis",3,"present","",185099,"","Muraenolepis_microps",NA,66
"337",337,"Nandus nandus","Anabantiformes","Nandidae","Nandus",3,"present","",196682,"","Nandus_nandus",NA,23
"338",338,"Chitala chitala","Osteoglossiformes","Notopteridae","Chitala",3,"present","y",863123,"","Chitala_chitala",NA,21
"339",339,"Notopterus notopterus","Osteoglossiformes","Notopteridae","Notopterus",3,"present","",904617,"","Notopterus_notopterus",NA,19
"340",340,"Oncorhynchus masou","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","",982404,"","Oncorhynchus_masou",NA,43.5
"341",341,"Oncorhynchus mykiss (species in domain Eukaryota)","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","y",165368,"","Oncorhynchus_mykiss (species in domain Eukaryota)",NA,NA
"342",342,"Oncorhynchus masou masou","Salmoniformes","Salmonidae","Oncorhynchus",2,"present","y",207835,"infraspecific","Oncorhynchus_masou masou",NA,NA
"343",343,"Ophisurus macrorhynchos","Anguilliformes","Ophichthidae","Ophisurus",3,"present","",65747,"","Ophisurus_macrorhynchos",NA,50
"344",344,"Oplegnathus fasciatus","Centrarchiformes","Oplegnathidae","Oplegnathus",3,"present","y",711801,"","Oplegnathus_fasciatus",NA,30.5
"345",345,"Osphronemus goramy","Anabantiformes","Osphronemidae","Osphronemus",3,"present","",612525,"","Osphronemus_goramy",NA,17
"346",346,"Oxycirrhites typus","Centrarchiformes","Cirrhitidae","Oxycirrhites",3,"present","",702709,"","Oxycirrhites_typus",NA,17.5
"347",347,"Pagothenia borchgrevinki","Perciformes","Nototheniidae","Pagothenia",3,"present","y",781792,"","Pagothenia_borchgrevinki",NA,68
"348",348,"Pagrus major","Spariformes","Sparidae","Pagrus",3,"present","y",765344,"","Pagrus_major",NA,38
"349",349,"Pangasius polyuranodon","Siluriformes","Pangasiidae","Pangasius",3,"present","",199220,"","Pangasius_polyuranodon",NA,20.5
"350",350,"Papyrocranus afer","Osteoglossiformes","Notopteridae","Papyrocranus",3,"present","",239121,"","Papyrocranus_afer",NA,8
"351",351,"Parachromis managuensis","Cichliformes","Cichlidae","Parachromis",3,"present","y",797202,"","Parachromis_managuensis",NA,17
"352",352,"Parapercis sexfasciata","Uranoscopiformes","Pinguipedidae","Parapercis",3,"present","",132534,"","Parapercis_sexfasciata",NA,30.5
"353",353,"Paraplagusia japonica","Pleuronectiformes","Cynoglossidae","Paraplagusia",3,"present","",126710,"","Paraplagusia_japonica",NA,32.5
"354",354,"Parapristipoma trilineatum","Lutjaniformes","Haemulidae","Parapristipoma",3,"present","",64274,"","Parapristipoma_trilineatum",NA,28
"355",355,"Parupeneus barberinoides","Syngnathiformes","Mullidae","Parupeneus",3,"present","",758968,"","Parupeneus_barberinoides",NA,11
"356",356,"Parablennius yatabei","Blenniiformes","Blenniidae","Parablennius",3,"present","",155048,"","Parablennius_yatabei",NA,32.5
"357",357,"Ophichthus zophistius","Anguilliformes","Ophichthidae","Ophichthus",3,"present","",483995,"","Ophichthus_zophistius",NA,NA
"358",358,"Platycephalus indicus","Perciformes","Platycephalidae","Platycephalus",3,"present","",599906,"","Platycephalus_indicus",NA,18
"359",359,"Pleuragramma antarctica","Perciformes","Nototheniidae","Pleuragramma",3,"present","",303042,"","Pleuragramma_antarctica",NA,NA
"360",360,"Pleuronichthys cornutus","Pleuronectiformes","Pleuronectidae","Pleuronichthys",3,"present","",891078,"","Pleuronichthys_cornutus",NA,34
"361",361,"Pogonophryne scotti","Perciformes","Artedidraconidae","Pogonophryne",3,"present","",659897,"","Pogonophryne_scotti",NA,66
"362",362,"Polypterus bichir","Polypteriformes","Polypteridae","Polypterus",3,"present","",735234,"","Polypterus_bichir",NA,11
"363",363,"Porichthys notatus","Batrachoidiformes","Batrachoididae","Porichthys",3.5,"present","",720409,"","Porichthys_notatus",NA,47.5
"364",364,"Pterophyllum scalare","Cichliformes","Cichlidae","Pterophyllum",3,"present","y",220929,"","Pterophyllum_scalare",NA,17.5
"365",365,"Psenopsis anomala","Scombriformes","Centrolophidae","Psenopsis",3,"present","",137653,"","Psenopsis_anomala",NA,25
"366",366,"Pseudoblennius percoides","Perciformes","Cottidae","Pseudoblennius",3,"present","",3632196,"","Pseudoblennius_percoides",NA,55.5
"367",367,"Pseudolabrus japonicus","Labriformes","Labridae","Pseudolabrus",3,"present","",823202,"","Pseudolabrus_japonicus",NA,34
"368",368,"Pseudopimelodus bufonius","Siluriformes","Pseudopimelodidae","Pseudopimelodus",3,"present","",61474,"","Pseudopimelodus_bufonius",NA,37.5
"369",369,"Pterogobius elapoides","Gobiiformes","Gobiidae","Pterogobius",3,"present","",173379,"","Pterogobius_elapoides",NA,44.5
"370",370,"Pterogobius virgo","Gobiiformes","Gobiidae","Pterogobius",3,"present","",173385,"","Pterogobius_virgo",NA,44.5
"371",371,"Pteragogus flagellifer","Labriformes","Labridae","Pteragogus",3,"present","",351871,"","Pteragogus_flagellifer",NA,22
"372",372,"Pyrrhulina australis","Characiformes","Lebiasinidae","Pyrrhulina",3,"present","",435753,"","Pyrrhulina_australis",NA,19.5
"373",373,"Repomucenus richardsonii","Syngnathiformes","Callionymidae","Repomucenus",3,"present","",473931,"","Repomucenus_richardsonii",NA,NA
"374",374,"Rita rita","Siluriformes","Bagridae","Rita",3,"present","",23762,"","Rita_rita",NA,33.5
"375",375,"Oncorhynchus mykiss gairdneri","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","y",57412,"infraspecific","Oncorhynchus_mykiss gairdneri",NA,NA
"376",376,"Salvelinus leucomaenis","Salmoniformes","Salmonidae","Salvelinus",3,"present","",688317,"","Salvelinus_leucomaenis",NA,46.5
"377",377,"Salvelinus fontinalis","Salmoniformes","Salmonidae","Salvelinus",3,"present","y",688339,"","Salvelinus_fontinalis",NA,43.5
"378",378,"Sargocentron sp.","Holocentriformes","Holocentridae","Sargocentron",3,"present","",983871,"not_otu, incertae_sedis","Sargocentron_sp.",NA,NA
"379",379,"Saurida undosquamis","Aulopiformes","Synodontidae","Saurida",3,"present","",802170,"","Saurida_undosquamis",NA,16.5
"380",380,"Scatophagus argus","Acanthuriformes","Scatophagidae","Scatophagus",3,"present","y",773212,"","Scatophagus_argus",NA,15
"381",381,"Scomber japonicus","Scombriformes","Scombridae","Scomber",3,"present","y",70556,"","Scomber_japonicus",NA,30
"382",382,"Sebastes inermis","Perciformes","Sebastidae","Sebastes",3,"present","y",767460,"sibling_higher","Sebastes_inermis",NA,37
"383",383,"Sebastes schlegelii","Perciformes","Sebastidae","Sebastes",3.25,"present","y",206127,"sibling_higher","Sebastes_schlegelii",NA,38
"384",384,"Sebastes hubbsi","Perciformes","Sebastidae","Sebastes",3,"present","y",778320,"sibling_higher","Sebastes_hubbsi",NA,32.5
"385",385,"Sebastiscus marmoratus","Perciformes","Sebastidae","Sebastiscus",3,"present","",986386,"","Sebastiscus_marmoratus",NA,25
"386",386,"Seriola quinqueradiata","Carangiformes","Carangidae","Seriola",3,"present","y",186469,"","Seriola_quinqueradiata",NA,27.5
"387",387,"Siganus fuscescens","Acanthuriformes","Siganidae","Siganus",3,"present","y",927037,"","Siganus_fuscescens",NA,13
"388",388,"Sillago japonica","Perciformes","Sillaginidae","Sillago",3,"present","",56114,"","Sillago_japonica",NA,32.5
"389",389,"Solea senegalensis","Pleuronectiformes","Soleidae","Solea",3,"present","y",366998,"","Solea_senegalensis",NA,35.5
"390",390,"Sphaeramia nematoptera","Kurtiformes","Apogonidae","Sphaeramia",3,"present","",799234,"","Sphaeramia_nematoptera",NA,11
"391",391,"Sphyraena pinguis","Acanthomorphata","Sphyraenidae","Sphyraena",3,"present","",691678,"incertae_sedis_inherited","Sphyraena_pinguis",NA,31
"392",392,"Steindachneridion parahybae","Siluriformes","Pimelodidae","Steindachneridion",3,"present","",297574,"","Steindachneridion_parahybae",NA,37.5
"393",393,"Stephanolepis cirrhifer","Tetraodontiformes","Monacanthidae","Stephanolepis",3,"present","",191033,"","Stephanolepis_cirrhifer",NA,32.5
"394",394,"Symphysodon aequifasciata","Cichliformes","Cichlidae","Symphysodon",3,"present","",220923,"","Symphysodon_aequifasciata",NA,NA
"395",395,"Syngnathus schlegeli","Syngnathiformes","Syngnathidae","Syngnathus",3,"present","",259361,"","Syngnathus_schlegeli",NA,23.5
"396",396,"Takifugu pardalis","Tetraodontiformes","Tetraodontidae","Takifugu",3,"present","",407058,"","Takifugu_pardalis",NA,37
"397",397,"Takifugu xanthopterus","Tetraodontiformes","Tetraodontidae","Takifugu",3,"present","",139541,"","Takifugu_xanthopterus",NA,32.5
"398",398,"Tetraodon fluviatilis","Tetraodontiformes","Tetraodontidae","Tetraodon",3,"present","",120277,"","Tetraodon_fluviatilis",NA,NA
