"","Species","order"
"204","Marosatherina ladigesi","Atheriniformes"
"205","Mastacembelus erythrotaenia","Synbranchiformes"
"206","Metynnis hypsauchen","Characiformes"
"207","Metynnis lippincottianus","Characiformes"
"208","Microcanthus strigatus","Centrarchiformes"
"209","Microglanis cottoides","Siluriformes"
"210","Micropterus salmoides","Centrarchiformes"
"211","Microschemobrycon callops","Characiformes"
"212","Mimagoniates rheocharis","Characiformes"
"213","Misgurnus anguillicaudatus","Cypriniformes"
"214","Moenkhausia xinguensis","Characiformes"
"215","Monodactylus argenteus","Eupercaria/misc"
"216","Monopterus albus","Synbranchiformes"
"217","Mormyrus kannume","Osteoglossiformes"
"218","Mugil cephalus","Mugiliformes"
"219","Mylesinus paucisquamatus","Characiformes"
"220","Myleus setiger","Characiformes"
"221","Myleus torquatus","Characiformes"
"222","Myloplus rubripinnis","Characiformes"
"223","Nannostomus beckfordi","Characiformes"
"224","Neogobius melanostomus","Gobiiformes"
"225","Neolamprologus brichardi","Cichliformes"
"226","Neolebias unifasciatus","Characiformes"
"227","Nimbochromis venustus","Cichliformes"
"228","Nipponocypris temminckii","Cypriniformes"
"229","Nothobranchius palmqvisti","Cyprinodontiformes"
"230","Notopterus notopterus","Osteoglossiformes"
"231","Notothenia angustata","Perciformes"
"232","Notothenia coriiceps","Perciformes"
"233","Nuchequula nuchalis","Chaetodontiformes"
"234","Odontobutis obscura","Gobiiformes"
"235","Oligosarcus pintoi","Characiformes"
"236","Ompok bimaculatus","Siluriformes"
"237","Oncorhynchus masou","Salmoniformes"
"238","Oncorhynchus masou masou","Salmoniformes"
"239","Oncorhynchus mykiss (species in domain Eukaryota)",NA
"240","Oncorhynchus mykiss gairdneri","Salmoniformes"
"241","Oncorhynchus mykiss irideus","Salmoniformes"
"242","Ophichthus zophistius","Anguilliformes"
"243","Ophisurus macrorhynchos","Anguilliformes"
"244","Ophthalmolycus amberensis","Perciformes"
"245","Oplegnathus fasciatus","Centrarchiformes"
"246","Opsariichthys uncirostris","Cypriniformes"
"247","Oreochromis","Cichliformes"
"248","Oreochromis mossambicus","Cichliformes"
"249","Oreochromis niloticus","Cichliformes"
"250","Oryzias latipes","Beloniformes"
"251","Osphronemus goramy","Anabantiformes"
"252","Osteoglossum bicirrhosum","Osteoglossiformes"
"253","Oxycirrhites typus","Centrarchiformes"
"254","Pagothenia borchgrevinki","Perciformes"
"255","Pagrus major","Spariformes"
"256","Pangasius polyuranodon","Siluriformes"
"257","Pantodon buchholzi","Osteoglossiformes"
"258","Papyrocranus afer","Osteoglossiformes"
"259","Parablennius yatabei","Blenniiformes"
"260","Parachaenichthys charcoti","Perciformes"
"261","Paracheirodon axelrodi","Characiformes"
"262","Paracheirodon innesi","Characiformes"
"263","Parajulis poecilepterus","Labriformes"
